,l,b,d,r,phi,x,y,z,vlos,vll,vbb,mu_l,mu_b,vphi,vr,vT,vz,vx,vy
38,59.7230122509,-0.000114025524184,8.95775530882,8.48410348191,1.14767249428,3.48366448244,7.73589643581,0.0,-28.0821725781,-234.435154002,-6.695864453,-5.52078007061,-0.157682815041,206.179137165,-6.58321485729e-10,218.65564194,0.0,-199.372556542,89.7823671447
39,327.018636897,-2.29827501685e-05,13.7902156449,8.31167327333,4.26871374947,-3.56788343315,-7.50693815148,0.0,2.30952729639,-387.490079397,-7.90423088724,-5.9274433827,-0.12091117569,210.916900764,6.24560462385e-08,219.134045871,0.0,197.917516115,-94.0658645571
40,326.252125566,-2.14390652406e-05,13.6755862695,8.31167327333,4.29476771026,-3.37110920073,-7.59733738617,0.0,2.62955143679,-384.434788278,-7.91184103299,-5.92999871522,-0.122042043518,210.916900764,6.24557948608e-08,219.134045871,0.0,200.300856918,-88.8779881514
41,2.00187584442,-8.49005534775e-05,16.3020919174,8.31167327312,3.07302649729,-8.2921430177,0.569453047273,0.0,-11.8269370291,-450.721443594,-7.2183052258,-5.83234183184,-0.0934049713448,210.916900774,3.90454132662e-09,219.134045877,0.0,-15.0134089873,-218.619138259
42,321.948425407,-1.27084756796e-05,12.9906427012,8.31167327312,4.44081936169,-2.22955532439,-8.00705911396,0.0,4.41613221285,-366.111331932,-7.94596805265,-5.9451159159,-0.129030972321,210.916900775,3.90391637015e-09,219.134045877,0.0,211.103011578,-58.7813623945
43,61.5733422173,-0.0001130492497,8.2339787995,8.31167327333,1.0576539907,4.08034410825,7.24118115786,0.0,-24.0139606829,-217.493828367,-6.72537475608,-5.57203440247,-0.172299231623,210.916900764,6.24553105812e-08,219.134045871,0.0,-190.91093593,107.576691725
44,35.8412541171,-0.000115758479644,11.6757242404,6.9917834445,1.7818694433,-1.46484380019,6.83661234647,0.0,4.24519731046,-347.11681468,-6.60565835204,-6.27147108978,-0.119346553182,254.830776707,-1.16364098743e-10,222.715200716,0.0,-217.772404286,-46.6609104195
45,60.0098571561,-0.000113881942387,4.93452425155,6.9917834445,0.657660328954,5.53346913411,4.27384546711,0.0,14.0543145468,-136.296623344,-6.81008172259,-5.82656818022,-0.291125374174,254.830776707,-1.16623515746e-10,222.715200716,0.0,-136.138419988,176.262279666
46,302.193542356,2.75237410318e-05,6.00916199628,6.9917834445,5.46877404221,4.79843798983,-5.08527566535,0.0,-25.0010093435,-188.752315994,-7.85288785066,-6.62602722942,-0.275670518023,254.830776707,-1.1643865631e-10,222.715200716,0.0,161.985593446,152.848709991
47,59.0349815589,-0.000114358266202,2.76426978797,6.9917834445,0.34586812783,6.57774051713,2.37030914104,0.0,13.7250505918,-66.9301292256,-6.94687125375,-5.10742588658,-0.530114471355,254.830776707,-1.1605410733e-10,222.715200716,0.0,-75.5034649308,209.526340619
